season,episode,title,directed_by,written_by,air_date,us_views_millions,imdb_rating
4,23,The One with Ross' Wedding,Kevin S. Bright,Michael Borkow,5/7/98,31.6,8.7
4,24,The One with Ross' Wedding,Kevin S. Bright,Story by: Jill Condon & Amy ToominTeleplay by: Shana Goldberg-Meehan & Scott Silveri,5/7/98,31.6,9.2
5,1,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,9/24/98,31.1,8.9
5,2,The One with All the Kissing,Gary Halvorson,Wil Calhoun,10/1/98,25.4,9
5,3,The One Hundredth,Kevin S. Bright,David Crane & Marta Kauffman,10/8/98,26.8,8.8
5,4,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,10/15/98,24.1,8.3
5,5,The One with the Kips,Dana DeValley Piazza,Scott Silveri,10/29/98,25.9,8.8
5,6,The One with the Yeti,Gary Halvorson,Alexa Junge,11/5/98,25,8.1
5,7,The One Where Ross Moves In,Gary Halvorson,Gigi McCreery & Perry Rein,11/12/98,24.4,8.4
5,8,The One with All the Thanksgivings,Kevin S. Bright,Gregory S. Malins,11/19/98,23.9,9.2
5,9,The One with Ross's Sandwich,Gary Halvorson,Ted Cohen & Andrew Reich,12/10/98,23,9.1
5,10,The One with the Inappropriate Sister,Dana DeValley Piazza,Shana Goldberg-Meehan,12/17/98,23.7,8.2
5,11,The One with All the Resolutions,Joe Regalbuto,Story by: Brian BoyleTeleplay by: Suzie Villandry,1/7/99,27,9.1
5,12,The One with Chandler's Work Laugh,Kevin S. Bright,Alicia Sky Varinaitis,1/21/99,24.8,8.3
5,13,The One with Joey's Bag,Gail Mancuso,Story by: Michael CurtisTeleplay by: Seth Kurland,2/4/99,24.9,8.1
5,14,The One Where Everybody Finds Out,Michael Lembeck,Alexa Junge,2/11/99,27.7,9.7
5,15,The One with the Girl Who Hits Joey,Kevin S. Bright,Adam Chase,2/18/99,29.3,8.5
5,16,The One with the Cop,Andrew Tsao,Story by: Alicia Sky VarinaitisTeleplay by: Gigi McCreery & Perry Rein,2/25/99,26,8.6
5,17,The One with Rachel's Inadvertent Kiss,Shelley Jensen,Andrew Reich & Ted Cohen,3/18/99,24.5,8.5
5,18,The One Where Rachel Smokes,Todd Holland,Michael Curtis,4/8/99,21.9,8
5,19,The One Where Ross Can't Flirt,Gail Mancuso,Doty Abrams,4/22/99,20.9,8.7
5,20,The One with the Ride-Along,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,4/29/99,19.6,8.3
5,21,The One with the Ball,Gary Halvorson,Story by: Scott SilveriTeleplay by: Gregory S. Malins,5/6/99,20.9,8.5
5,22,The One with Joey's Big Break,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Wil Calhoun,5/13/99,21.3,8.3
5,23,The One in Vegas,Kevin S. Bright,Ted Cohen & Andrew Reich,5/20/99,25.9,8.8
5,24,The One in Vegas,Kevin S. Bright,Gregory S. Malins & Scott Silveri,5/20/99,25.9,9.1
6,1,The One After Vegas,Kevin S. Bright,Adam Chase,9/23/99,27.7,8.7
6,2,The One Where Ross Hugs Rachel,Gail Mancuso,Shana Goldberg-Meehan,9/30/99,22.9,8.2
6,3,The One with Ross's Denial,Gary Halvorson,Seth Kurland,10/7/99,21.6,8.2
6,4,The One Where Joey Loses His Insurance,Gary Halvorson,Andrew Reich & Ted Cohen,10/14/99,21.1,8.5
6,5,The One with Joey's Porsche,Gary Halvorson,Perry Rein & Gigi McCreery,10/21/99,22.4,8.2
6,6,The One on the Last Night,David Schwimmer,Scott Silveri,11/4/99,23.6,8.5
6,7,The One Where Phoebe Runs,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,11/11/99,22.7,8.4
6,8,The One with Ross's Teeth,Gary Halvorson,Story by: Andrew Reich & Ted CohenTeleplay by: Perry Rein & Gigi McCreery,11/18/99,22.1,8.5
6,9,The One Where Ross Got High,Kevin S. Bright,Gregory S. Malins,11/25/99,19.2,9.2
6,10,The One with the Routine,Kevin S. Bright,Brian Boyle,12/16/99,22.4,8.6
6,11,The One with the Apothecary Table,Kevin S. Bright,Story by: Zachary RosenblattTeleplay by: Brian Boyle,1/6/00,22.3,8.1
6,12,The One with the Joke,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,1/13/00,22.3,8.1
6,13,The One with Rachel's Sister,Gary Halvorson,Story by: Seth KurlandTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,2/3/00,24.1,8.2
6,14,The One Where Chandler Can't Cry,Kevin S. Bright,Andrew Reich & Ted Cohen,2/10/00,23.8,8.6
6,15,The One That Could Have Been,Michael Lembeck,Gregory S. Malins & Adam Chase,2/17/00,20.7,8.5
6,16,The One That Could Have Been,Michael Lembeck,David Crane & Marta Kauffman,2/17/00,20.7,8.5
6,17,The One with Unagi,Gary Halvorson,Story by: Zachary RosenblattTeleplay by: Adam Chase,2/24/00,22.1,9.1
6,18,The One Where Ross Dates a Student,Gary Halvorson,Seth Kurland,3/9/00,20.5,8.3
6,19,The One with Joey's Fridge,Ben Weiss,Story by: Seth KurlandTeleplay by: Gigi McCreery & Perry Rein,3/23/00,21.5,8.3
6,20,The One with Mac and C.H.E.E.S.E.,Kevin S. Bright,Doty Abrams,4/13/00,18.8,7.4
